epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,278.562,0.17178,0.82857,1,0.64789,0.00135344,0.00135344,0.00135344
78,282.387,0.19841,0.8,1,0.77502,0.00134931,0.00134931,0.00134931
79,286.164,0.21431,0.82857,1,0.72339,0.00134519,0.00134519,0.00134519
80,289.458,0.16534,0.77143,1,0.65955,0.00134106,0.00134106,0.00134106
81,292.751,0.17925,0.8,1,0.78094,0.00133693,0.00133693,0.00133693
82,297.204,0.16515,0.81905,1,0.60962,0.00133281,0.00133281,0.00133281
83,300.474,0.15205,0.84762,1,0.61658,0.00132868,0.00132868,0.00132868
84,303.66,0.14683,0.84762,1,0.60846,0.00132456,0.00132456,0.00132456
85,306.824,0.18951,0.82857,1,0.57782,0.00132043,0.00132043,0.00132043
86,311.226,0.1917,0.81905,1,0.43848,0.0013163,0.0013163,0.0013163
87,314.439,0.20662,0.80952,1,0.4137,0.00131218,0.00131218,0.00131218
88,317.71,0.20865,0.82857,1,0.44948,0.00130805,0.00130805,0.00130805
89,321.288,0.13261,0.80952,1,0.59692,0.00130393,0.00130393,0.00130393
90,325.332,0.16391,0.87619,1,0.59369,0.0012998,0.0012998,0.0012998
91,328.577,0.18832,0.85714,1,0.54933,0.00129568,0.00129568,0.00129568
92,331.882,0.14074,0.8381,1,0.79419,0.00129155,0.00129155,0.00129155
93,336.11,0.13333,0.82857,1,0.66321,0.00128742,0.00128742,0.00128742
94,339.523,0.11618,0.8381,1,0.83124,0.0012833,0.0012833,0.0012833
95,342.676,0.18435,0.88571,1,0.8107,0.00127917,0.00127917,0.00127917
96,346.018,0.14994,0.84762,1,0.46867,0.00127505,0.00127505,0.00127505
97,350.465,0.14808,0.86667,1,0.42523,0.00127092,0.00127092,0.00127092
98,353.671,0.12797,0.77143,1,0.69421,0.00126679,0.00126679,0.00126679
99,357.011,0.1528,0.8381,1,0.65186,0.00126267,0.00126267,0.00126267
100,360.847,0.13744,0.84762,1,0.40975,0.00125854,0.00125854,0.00125854
101,364.735,0.13703,0.80952,1,0.74792,0.00125442,0.00125442,0.00125442
102,368.021,0.18139,0.8,1,0.86414,0.00125029,0.00125029,0.00125029
103,371.279,0.12608,0.80952,1,0.81609,0.00124617,0.00124617,0.00124617
104,375.496,0.14511,0.81905,1,1.01678,0.00124204,0.00124204,0.00124204
105,378.909,0.1212,0.80952,1,0.79535,0.00123791,0.00123791,0.00123791
106,382.297,0.12612,0.81905,1,0.85873,0.00123379,0.00123379,0.00123379
107,385.694,0.15386,0.80952,1,0.91638,0.00122966,0.00122966,0.00122966
108,390.08,0.11914,0.81905,1,0.65578,0.00122554,0.00122554,0.00122554
109,393.498,0.16107,0.81905,1,1.04016,0.00122141,0.00122141,0.00122141
110,396.672,0.14099,0.8381,1,0.80591,0.00121729,0.00121729,0.00121729
111,400.277,0.10555,0.81905,1,0.6438,0.00121316,0.00121316,0.00121316
112,404.279,0.15501,0.85714,1,0.63037,0.00120903,0.00120903,0.00120903
113,407.566,0.11886,0.8381,1,0.5563,0.00120491,0.00120491,0.00120491
114,410.873,0.1233,0.85714,1,0.61917,0.00120078,0.00120078,0.00120078
115,415.289,0.15271,0.8381,1,1.18555,0.00119666,0.00119666,0.00119666
116,418.585,0.10374,0.87619,1,0.62683,0.00119253,0.00119253,0.00119253
117,421.876,0.09161,0.81905,1,0.58313,0.0011884,0.0011884,0.0011884
118,425.174,0.10477,0.8381,1,0.56538,0.00118428,0.00118428,0.00118428
119,429.504,0.07899,0.87619,1,0.49003,0.00118015,0.00118015,0.00118015
120,432.762,0.13024,0.90476,1,0.55223,0.00117603,0.00117603,0.00117603
121,436.022,0.1309,0.84762,1,0.54578,0.0011719,0.0011719,0.0011719
122,439.93,0.14767,0.88571,1,0.72858,0.00116778,0.00116778,0.00116778
123,443.801,0.13635,0.82857,1,0.927,0.00116365,0.00116365,0.00116365
124,447.086,0.12377,0.86667,1,0.52017,0.00115952,0.00115952,0.00115952
125,450.388,0.12308,0.85714,1,0.51007,0.0011554,0.0011554,0.0011554
126,454.882,0.13268,0.85714,1,0.97534,0.00115127,0.00115127,0.00115127
127,458.128,0.12043,0.84762,1,0.76282,0.00114715,0.00114715,0.00114715
128,461.401,0.08094,0.84762,1,0.61204,0.00114302,0.00114302,0.00114302
129,464.781,0.09003,0.84762,1,0.93262,0.00113889,0.00113889,0.00113889
130,469.081,0.1056,0.86667,1,0.61157,0.00113477,0.00113477,0.00113477
131,472.323,0.11122,0.8381,1,0.70522,0.00113064,0.00113064,0.00113064
132,475.693,0.09565,0.82857,1,0.86159,0.00112652,0.00112652,0.00112652
133,479.561,0.08392,0.81905,1,1.06006,0.00112239,0.00112239,0.00112239
134,483.426,0.11224,0.81905,1,0.80231,0.00111827,0.00111827,0.00111827
135,486.691,0.15729,0.84762,1,0.85999,0.00111414,0.00111414,0.00111414
136,490.063,0.13266,0.78095,1,0.66961,0.00111001,0.00111001,0.00111001
137,494.432,0.09533,0.82857,1,0.54134,0.00110589,0.00110589,0.00110589
138,497.708,0.09116,0.84762,1,0.64581,0.00110176,0.00110176,0.00110176
139,500.944,0.08494,0.84762,1,0.85864,0.00109764,0.00109764,0.00109764
140,504.516,0.07872,0.82857,1,0.7998,0.00109351,0.00109351,0.00109351
141,508.773,0.12379,0.82857,1,0.78412,0.00108938,0.00108938,0.00108938
142,512.221,0.10172,0.85714,1,0.96405,0.00108526,0.00108526,0.00108526
143,515.468,0.10048,0.82857,1,0.7298,0.00108113,0.00108113,0.00108113
144,519.659,0.07806,0.8381,1,0.95245,0.00107701,0.00107701,0.00107701
145,523.085,0.11634,0.84762,1,0.79515,0.00107288,0.00107288,0.00107288
146,526.55,0.07699,0.85714,1,0.86945,0.00106876,0.00106876,0.00106876
147,529.773,0.09248,0.87619,1,0.62494,0.00106463,0.00106463,0.00106463
148,534.251,0.12169,0.84762,1,1.0907,0.0010605,0.0010605,0.0010605
149,537.466,0.09175,0.86667,1,0.70898,0.00105638,0.00105638,0.00105638
150,540.893,0.14636,0.86667,1,1.09586,0.00105225,0.00105225,0.00105225
151,544.4,0.07943,0.8381,1,0.80273,0.00104813,0.00104813,0.00104813
152,548.584,0.08392,0.82857,1,0.55673,0.001044,0.001044,0.001044
153,551.877,0.11198,0.84762,1,0.64453,0.00103987,0.00103987,0.00103987
154,555.152,0.12499,0.82857,1,0.67276,0.00103575,0.00103575,0.00103575
155,559.509,0.07108,0.78095,1,0.88354,0.00103162,0.00103162,0.00103162
156,562.838,0.12701,0.8381,1,0.91589,0.0010275,0.0010275,0.0010275
157,566.182,0.12208,0.84762,1,0.80066,0.00102337,0.00102337,0.00102337
158,569.421,0.12129,0.82857,1,0.77756,0.00101925,0.00101925,0.00101925
159,573.808,0.12345,0.8,1,1.25256,0.00101512,0.00101512,0.00101512
160,577.125,0.08291,0.79048,1,0.74188,0.00101099,0.00101099,0.00101099
161,580.445,0.13639,0.84762,1,0.60304,0.00100687,0.00100687,0.00100687
162,584.439,0.10527,0.81905,1,0.6546,0.00100274,0.00100274,0.00100274
163,588.21,0.09541,0.85714,1,1.0083,0.000998616,0.000998616,0.000998616
164,591.582,0.07651,0.86667,1,0.8002,0.000994491,0.000994491,0.000994491
165,594.942,0.06819,0.84762,1,0.75189,0.000990365,0.000990365,0.000990365
166,599.51,0.0807,0.82857,1,1.00128,0.000986239,0.000986239,0.000986239
167,602.814,0.07467,0.82857,1,1.10669,0.000982113,0.000982113,0.000982113
168,606.294,0.0715,0.8381,1,0.77747,0.000977987,0.000977987,0.000977987
169,609.996,0.11535,0.82857,1,0.69535,0.000973861,0.000973861,0.000973861
170,614.026,0.16104,0.85714,1,0.65255,0.000969736,0.000969736,0.000969736
171,617.346,0.07573,0.82857,1,0.83173,0.00096561,0.00096561,0.00096561
